target,中文名,初筛,候选数,选中数,全量R2,选中再训练R2,未选中R2,选中字段
bus_215_va_deg,节点215电压相角,是,34,9,0.987103300333146,0.9713702961487317,0.9801888822594669,area_1_fuel_coal_mw|area_1_load_day_ahead_mw|gen_fuel_wind_mw|area_1_fuel_solar_mw|gen_fuel_solar_mw|area_2_generation_mw|area_3_fuel_coal_mw|area_2_fuel_coal_mw|area_1_net_export_mw
bus_315_va_deg,节点315电压相角,是,35,7,0.9918190004028908,0.9744064221028588,0.9892868852703556,area_3_fuel_natural_gas_mw|area_1_fuel_coal_mw|reserve_spin_r1_mw|area_1_fuel_solar_mw|area_2_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_solar_mw
branch_ab1_loading_pct,线路AB1负载率,是,41,7,0.9893936614637584,0.9749781448425443,0.9860541113108479,area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|area_2_fuel_coal_mw|area_1_fuel_solar_mw|area_2_fuel_hydro_mw
branch_ab2_loading_pct,线路AB2负载率,是,29,8,0.9841776426259385,0.9730002722177551,0.9743102746427041,gen_fuel_natural_gas_mw|area_1_fuel_coal_mw|area_1_fuel_natural_gas_mw|area_1_load_day_ahead_mw|area_1_fuel_solar_mw|area_2_load_actual_mw|area_3_fuel_solar_mw|area_2_fuel_coal_mw
branch_ab3_loading_pct,线路AB3负载率,是,36,9,0.9606136728795094,0.9449895258638975,0.9358868328503442,area_1_fuel_coal_mw|area_2_fuel_natural_gas_mw|gen_fuel_wind_mw|area_3_fuel_solar_mw|reserve_spin_r3_mw|area_1_fuel_natural_gas_mw|area_2_fuel_hydro_mw|system_losses_mw|area_2_fuel_coal_mw
branch_ca_1_loading_pct,线路CA-1负载率,是,12,5,0.9083036419524949,0.881549515713236,0.7986109199882949,gen_fuel_wind_mw|system_losses_mw|area_1_fuel_wind_mw|area_3_fuel_solar_mw|area_1_fuel_nuclear_mw
branch_cb_1_loading_pct,线路CB-1负载率,是,13,6,0.8990679523046702,0.8835466418597443,0.789789668289474,area_3_fuel_wind_mw|system_losses_mw|area_1_fuel_coal_mw|area_3_fuel_solar_mw|area_1_fuel_wind_mw|gen_fuel_nuclear_mw
gen_121_nuclear_1_pg_mw,机组121核电出力,是,26,4,0.9999405051834985,0.99928693670227,0.9771034124926159,area_1_load_day_ahead_mw|area_1_fuel_wind_mw|area_1_fuel_solar_mw|area_1_fuel_hydro_mw
gen_218_cc_1_pg_mw,机组218联合循环出力,是,30,4,0.9998665786862999,0.9989010248306619,0.9340631962566257,area_2_load_day_ahead_mw|area_2_fuel_hydro_mw|area_2_fuel_coal_mw|area_2_fuel_solar_mw
gen_317_wind_1_pg_mw,机组317风电出力,是,40,11,0.955353842641623,0.9460935553684368,0.9050023368883664,area_1_net_export_mw|area_3_net_export_mw|area_2_net_export_mw|area_3_fuel_natural_gas_mw|area_3_fuel_solar_mw|reserve_spin_r3_mw|hour_of_day|area_1_fuel_wind_mw|system_losses_mw|reserve_reg_down_mw|area_3_fuel_hydro_mw
gen_321_cc_1_status,机组321投入状态,是,42,4,0.999949942932964,0.9970968414271708,0.9952258071108129,area_3_fuel_solar_mw|area_3_fuel_wind_mw|reserve_spin_r3_mw|area_3_fuel_coal_mw
