field,entity_type,entity_id,physical_quantity,mathematical_status,variance,n_unique,is_constant,sensitivity_tier,tier_reason
bus_118_vm_pu,bus,118,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_115_vm_pu,bus,115,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_218_vm_pu,bus,218,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_215_vm_pu,bus,215,vm_pu,strict_state_variable,4.930380657631324e-32,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_318_vm_pu,bus,318,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_315_vm_pu,bus,315,vm_pu,strict_state_variable,4.930380657631324e-32,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_107_vm_pu,bus,107,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_113_vm_pu,bus,113,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_113_va_deg,bus,113,va_deg,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_123_vm_pu,bus,123,vm_pu,strict_state_variable,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_217_p_injection_mw,bus,217,p_injection_mw,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_217_q_injection_mvar,bus,217,q_injection_mvar,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_325_p_injection_mw,bus,325,p_injection_mw,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
bus_325_q_injection_mvar,bus,325,q_injection_mvar,derived_nodal_operating_quantity,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_223_steam_3_status,generator,223_STEAM_3,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_122_wind_1_qg_mvar,generator,122_WIND_1,qg_mvar,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_122_wind_1_status,generator,122_WIND_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_317_wind_1_qg_mvar,generator,317_WIND_1,qg_mvar,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_317_wind_1_status,generator,317_WIND_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_303_wind_1_qg_mvar,generator,303_WIND_1,qg_mvar,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_303_wind_1_status,generator,303_WIND_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
gen_216_steam_1_status,generator,216_STEAM_1,status,control_or_operational_state,0.0,1,1,T0_constant,全年不变，没有可评估的时变信息；后续应先剥离
