目标,中文名,达标水平,预算n,先达标的方法,方法,测试R2,全量R2,候选数,选中字段
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,DGatingDNN,0.9407313581066428,0.9619991833873299,24,area_1_load_actual_mw|gen_fuel_coal_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,STG,0.934816072155696,0.9619991833873299,24,area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,LassoNet,0.9127961384897773,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_3_load_actual_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,XGBoost,0.9033421925692661,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_1_net_export_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,Lasso,0.9253820699162009,0.9619991833873299,24,system_losses_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|gen_fuel_nuclear_mw
bus_115_va_deg,节点115电压相角,95%,6,DGatingDNN,Pearson,0.8473109312916228,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw|area_1_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,DGatingDNN,0.9407313581066428,0.9619991833873299,24,area_1_load_actual_mw|gen_fuel_coal_mw|system_losses_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,STG,0.934816072155696,0.9619991833873299,24,area_1_load_actual_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,LassoNet,0.9127961384897773,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|area_3_net_export_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_3_load_actual_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,XGBoost,0.9033421925692661,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_nuclear_mw|area_1_net_export_mw|area_3_net_export_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,Lasso,0.9253820699162009,0.9619991833873299,24,system_losses_mw|gen_fuel_coal_mw|area_1_load_actual_mw|gen_fuel_natural_gas_mw|area_3_net_export_mw|gen_fuel_nuclear_mw
bus_115_va_deg,节点115电压相角,97%,6,DGatingDNN,Pearson,0.8473109312916228,0.9619991833873299,24,system_losses_mw|gen_fuel_wind_mw|reserve_reg_up_mw|area_2_net_export_mw|reserve_reg_down_mw|area_1_net_export_mw
bus_215_va_deg,节点215电压相角,95%,5,XGBoost,DGatingDNN,0.9498954989401875,0.9883109653661862,24,gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw
bus_215_va_deg,节点215电压相角,95%,5,XGBoost,STG,0.9119787245558819,0.9883109653661862,24,area_1_load_actual_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw
bus_215_va_deg,节点215电压相角,95%,5,XGBoost,LassoNet,0.9347106476314394,0.9883109653661862,24,system_losses_mw|gen_fuel_solar_mw|area_3_net_export_mw|area_1_load_actual_mw|gen_fuel_wind_mw
bus_215_va_deg,节点215电压相角,95%,5,XGBoost,XGBoost,0.9603815484964513,0.9883109653661862,24,system_losses_mw|gen_fuel_solar_mw|area_1_load_day_ahead_mw|area_3_net_export_mw|gen_fuel_coal_mw
bus_215_va_deg,节点215电压相角,95%,5,XGBoost,Lasso,0.9439001871848869,0.9883109653661862,24,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw
bus_215_va_deg,节点215电压相角,95%,5,XGBoost,Pearson,0.6830568691145977,0.9883109653661862,24,system_losses_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|gen_fuel_wind_mw
bus_215_va_deg,节点215电压相角,97%,5,XGBoost,DGatingDNN,0.9498954989401875,0.9883109653661862,24,gen_fuel_natural_gas_mw|area_1_load_day_ahead_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_wind_mw
bus_215_va_deg,节点215电压相角,97%,5,XGBoost,STG,0.9119787245558819,0.9883109653661862,24,area_1_load_actual_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|system_losses_mw|gen_fuel_solar_mw
bus_215_va_deg,节点215电压相角,97%,5,XGBoost,LassoNet,0.9347106476314394,0.9883109653661862,24,system_losses_mw|gen_fuel_solar_mw|area_3_net_export_mw|area_1_load_actual_mw|gen_fuel_wind_mw
bus_215_va_deg,节点215电压相角,97%,5,XGBoost,XGBoost,0.9603815484964513,0.9883109653661862,24,system_losses_mw|gen_fuel_solar_mw|area_1_load_day_ahead_mw|area_3_net_export_mw|gen_fuel_coal_mw
bus_215_va_deg,节点215电压相角,97%,5,XGBoost,Lasso,0.9439001871848869,0.9883109653661862,24,area_1_net_export_mw|area_2_net_export_mw|area_3_net_export_mw|gen_fuel_wind_mw|gen_fuel_natural_gas_mw
bus_215_va_deg,节点215电压相角,97%,5,XGBoost,Pearson,0.6830568691145977,0.9883109653661862,24,system_losses_mw|reserve_spin_r2_mw|area_2_load_actual_mw|area_2_load_day_ahead_mw|gen_fuel_wind_mw
bus_315_va_deg,节点315电压相角,95%,6,XGBoost,DGatingDNN,0.9132267999648745,0.9718562297909319,24,system_losses_mw|gen_fuel_natural_gas_mw|gen_fuel_wind_mw|area_1_load_day_ahead_mw|area_2_load_actual_mw|gen_fuel_solar_mw
bus_315_va_deg,节点315电压相角,95%,6,XGBoost,STG,0.924911834069433,0.9718562297909319,24,gen_fuel_natural_gas_mw|system_losses_mw|gen_fuel_wind_mw|gen_fuel_coal_mw|gen_fuel_solar_mw|gen_fuel_hydro_mw
bus_315_va_deg,节点315电压相角,95%,6,XGBoost,LassoNet,0.9182066475219002,0.9718562297909319,24,gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_hydro_mw
bus_315_va_deg,节点315电压相角,95%,6,XGBoost,XGBoost,0.9269706979088217,0.9718562297909319,24,gen_fuel_wind_mw|gen_fuel_solar_mw|system_losses_mw|area_3_net_export_mw|gen_fuel_nuclear_mw|gen_fuel_coal_mw
bus_315_va_deg,节点315电压相角,95%,6,XGBoost,Lasso,0.9256073328512475,0.9718562297909319,24,area_3_net_export_mw|system_losses_mw|gen_fuel_solar_mw|area_1_net_export_mw|gen_fuel_wind_mw|area_2_net_export_mw
bus_315_va_deg,节点315电压相角,95%,6,XGBoost,Pearson,0.9129765666025268,0.9718562297909319,24,gen_fuel_wind_mw|area_2_net_export_mw|gen_fuel_solar_mw|area_1_net_export_mw|system_losses_mw|gen_fuel_hydro_mw
