选中字段,替身对象,残差比,场景,目标
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,da_as_total_mw_thirty_minutes_reserve
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,da_as_total_mw_thirty_minutes_reserve
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜未初筛,da_as_total_mw_thirty_minutes_reserve
da_as_as_mw_primary_reserve,da_as_total_mw_primary_reserve,1.3370329409857457e-13,排除关注字段｜未初筛,da_as_total_mw_thirty_minutes_reserve
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜未初筛,congestion_price_rt
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,congestion_price_rt
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,congestion_price_rt
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜未初筛,congestion_price_rt
da_as_as_mw_primary_reserve,da_as_total_mw_primary_reserve,1.3370329409857457e-13,排除关注字段｜未初筛,congestion_price_rt
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜未初筛,net_sched_interchange_mw
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜未初筛,net_sched_interchange_mw
da_as_as_mw_primary_reserve,da_as_total_mw_primary_reserve,1.3370329409857457e-13,排除关注字段｜未初筛,net_sched_interchange_mw
prelim_load_avg_hourly,metered_load_mw,0.0071366881519125,排除关注字段｜未初筛,net_sched_interchange_mw
total_pjm_rt_load_mwh,metered_load_mw,0.0140993235420653,排除关注字段｜未初筛,net_sched_interchange_mw
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,gross_actual_interchange_mw
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,gross_actual_interchange_mw
da_as_as_mw_primary_reserve,da_as_total_mw_primary_reserve,1.3370329409857457e-13,排除关注字段｜未初筛,gross_actual_interchange_mw
total_pjm_rt_load_mwh,metered_load_mw,0.0140993235420653,排除关注字段｜未初筛,gross_actual_interchange_mw
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜未初筛,congestion_price_da
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,congestion_price_da
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561547e-14,排除关注字段｜未初筛,congestion_price_da
total_pjm_rt_load_mwh,metered_load_mw,0.0140993235420653,排除关注字段｜未初筛,congestion_price_da
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜未初筛,da_as_total_mw_primary_reserve
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜未初筛,marginal_loss_price_da
forecast_load_mw_latest_available,metered_load_mw,0.0884864236560745,排除关注字段｜未初筛,marginal_loss_price_da
total_pjm_rt_load_mwh,metered_load_mw,0.0140993235420653,排除关注字段｜未初筛,total_gen
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜已初筛,net_actual_interchange_mw
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜已初筛,total_losses
prelim_load_avg_hourly,metered_load_mw,0.0071366881519125,排除关注字段｜已初筛,total_losses
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜已初筛,da_as_total_mw_thirty_minutes_reserve
da_as_as_mw_primary_reserve,da_as_total_mw_primary_reserve,1.3370329409857457e-13,排除关注字段｜已初筛,da_as_total_mw_thirty_minutes_reserve
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜已初筛,congestion_price_rt
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜已初筛,net_sched_interchange_mw
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜已初筛,net_sched_interchange_mw
da_as_ss_mw_primary_reserve,da_as_ss_mw_synchronized_reserve,1.2872255708561547e-14,排除关注字段｜已初筛,gross_actual_interchange_mw
da_as_ss_mw_primary_reserve,da_as_ss_mw_thirty_minutes_reserve,1.2872255708561547e-14,排除关注字段｜已初筛,gross_actual_interchange_mw
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜已初筛,congestion_price_da
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜已初筛,congestion_price_da
gen_fuel_solar_mw,solar_generation_mw,0.0564216668417212,排除关注字段｜已初筛,congestion_price_da
forecast_load_mw_latest_available,metered_load_mw,0.0884864236560745,排除关注字段｜已初筛,congestion_price_da
da_as_as_mw_synchronized_reserve,da_as_total_mw_synchronized_reserve,7.419885859172679e-14,排除关注字段｜已初筛,da_as_total_mw_primary_reserve
da_as_as_mw_thirty_minutes_reserve,da_as_total_mw_thirty_minutes_reserve,9.117723462555772e-15,排除关注字段｜已初筛,marginal_loss_price_da
forecast_load_mw_latest_available,metered_load_mw,0.0884864236560745,排除关注字段｜已初筛,marginal_loss_price_da
total_pjm_rt_load_mwh,metered_load_mw,0.0140993235420653,排除关注字段｜已初筛,total_gen
