target,target_cn,formula_id,formula,required_information,available_information,applicable_to_27_field_pool,validated_residual_ratio,removed_fields,formula_closure_residual_trace,residual_ratio_after_all_formula_drops,judgement,source
bus_115_va_deg,母线 115 电压相角,AC_NODAL_POWER_FLOW,"P_i,Q_i=f(V,theta,Y_bus); solve theta from complete nodal injections, voltage controls and topology",complete nodal P/Q injections|voltage controls|Y_bus/topology|reference angle,system/area/fuel aggregates only,0,,,,,27 个候选字段不含完整节点注入、网络导纳与参考状态，方程不闭合,https://github.com/GridMod/RTS-GMLC/blob/3ece0d3725c844056132393ee252b3083dd4eab4/RTS_Data/SourceData/README.md ; /Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Explanation.md
bus_215_va_deg,母线 215 电压相角,AC_NODAL_POWER_FLOW,"P_i,Q_i=f(V,theta,Y_bus); solve theta from complete nodal injections, voltage controls and topology",complete nodal P/Q injections|voltage controls|Y_bus/topology|reference angle,system/area/fuel aggregates only,0,,,,,27 个候选字段不含完整节点注入、网络导纳与参考状态，方程不闭合,https://github.com/GridMod/RTS-GMLC/blob/3ece0d3725c844056132393ee252b3083dd4eab4/RTS_Data/SourceData/README.md ; /Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Explanation.md
bus_315_va_deg,母线 315 电压相角,AC_NODAL_POWER_FLOW,"P_i,Q_i=f(V,theta,Y_bus); solve theta from complete nodal injections, voltage controls and topology",complete nodal P/Q injections|voltage controls|Y_bus/topology|reference angle,system/area/fuel aggregates only,0,,,,,27 个候选字段不含完整节点注入、网络导纳与参考状态，方程不闭合,https://github.com/GridMod/RTS-GMLC/blob/3ece0d3725c844056132393ee252b3083dd4eab4/RTS_Data/SourceData/README.md ; /Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Explanation.md
branch_ab1_loading_pct,跨区支路 AB1 负载率,BRANCH_THERMAL_LOADING,"loading_pct=100*max(|S_from|,|S_to|)/rating",target branch P/Q at both ends|branch rating,no target-branch P/Q or rating in the 27-field pool,0,,,,,公式存在，但所需逐线路量已作为敏感目标排除，候选池无法代入,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
branch_ab2_loading_pct,跨区支路 AB2 负载率,BRANCH_THERMAL_LOADING,"loading_pct=100*max(|S_from|,|S_to|)/rating",target branch P/Q at both ends|branch rating,no target-branch P/Q or rating in the 27-field pool,0,,,,,公式存在，但所需逐线路量已作为敏感目标排除，候选池无法代入,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
branch_ab3_loading_pct,跨区支路 AB3 负载率,BRANCH_THERMAL_LOADING,"loading_pct=100*max(|S_from|,|S_to|)/rating",target branch P/Q at both ends|branch rating,no target-branch P/Q or rating in the 27-field pool,0,,,,,公式存在，但所需逐线路量已作为敏感目标排除，候选池无法代入,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
branch_ca_1_loading_pct,跨区支路 CA-1 负载率,BRANCH_THERMAL_LOADING,"loading_pct=100*max(|S_from|,|S_to|)/rating",target branch P/Q at both ends|branch rating,no target-branch P/Q or rating in the 27-field pool,0,,,,,公式存在，但所需逐线路量已作为敏感目标排除，候选池无法代入,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
branch_cb_1_loading_pct,跨区支路 CB-1 负载率,BRANCH_THERMAL_LOADING,"loading_pct=100*max(|S_from|,|S_to|)/rating",target branch P/Q at both ends|branch rating,no target-branch P/Q or rating in the 27-field pool,0,,,,,公式存在，但所需逐线路量已作为敏感目标排除，候选池无法代入,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
gen_121_nuclear_1_pg_mw,121_NUCLEAR_1 有功出力,SINGLE_NUCLEAR_RECURSIVE_FORMULA_CLOSURE,(1) nuclear_target=gen_fuel_nuclear_mw; (2) nuclear_target=system_generation_mw-sum(other_fuel_mw); (3) nuclear_target=system_load_actual_mw+system_losses_mw-sum(other_fuel_mw),fuel aggregates|system generation|system load and losses|official generator inventory,all formula inputs are present in the effective public pool,1,0.0,gen_fuel_nuclear_mw|system_generation_mw|system_losses_mw,after_0_drops=1.09105982e-14|after_1_drops=6.30265061e-09|after_2_drops=2.10908906e-08|after_3_drops=0.0716851099,0.07168510990645423,固定版本官方机组清单只有一条 Nuclear 记录；直接聚合式、燃料分解式和功率平衡替代路径均由生成规则给出，逐时验算通过。为切断公式闭包需依次移除三个入口,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py ; official fixed-commit RTS_Data/SourceData/gen.csv
gen_218_cc_1_pg_mw,218_CC_1 有功出力,FUEL_AGGREGATE_COMPONENT,gen_fuel_type_mw=sum(pg of all generators with the same fuel),all same-fuel individual outputs or a one-generator fuel class,fuel aggregate only,0,,,,,同燃料类型含多个出力分量，单个机组不能由总量唯一恢复,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
gen_317_wind_1_pg_mw,317_WIND_1 有功出力,FUEL_AGGREGATE_COMPONENT,gen_fuel_type_mw=sum(pg of all generators with the same fuel),all same-fuel individual outputs or a one-generator fuel class,fuel aggregate only,0,,,,,同燃料类型含多个出力分量，单个机组不能由总量唯一恢复,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
gen_321_cc_1_status,321_CC_1 投入状态,GENERATOR_STATUS_RULE,status=1(abs(individual_pg)>1e-6) for dispatched gen elements,individual generator pg,fuel/system aggregates only,0,,,,,状态规则需要同一具名机组的出力，候选池没有该字段,/Users/haocun/Desktop/AllProjects/SchoolSever_Projects/L1_GATE_DNN/NEW_Supplement/01_data/raw/rts_gmlc_2020/Generation/generate_rts_gmlc_dataset.py
