core_order,field,core_group,selection_reason,entity_type,entity_id,physical_quantity,mathematical_status,variance,n_unique,is_constant,sensitivity_tier,tier_reason,r2_mean_joint,r2_std_joint,r2_mean_grouped,r2_std_grouped,grouping_delta_r2,public27_inferability_grade,recommended_role
1,bus_115_va_deg,bus_angle,区域 1 高负荷代表节点相角,bus,115,va_deg,strict_state_variable,5.147345825398157,8775,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9505287806193032,0.0040860230804262,0.9533897439638772,0.0031996947850328,0.0028609633445739,strong_R2_ge_0.90,primary_target
2,bus_215_va_deg,bus_angle,区域 2 高负荷代表节点相角,bus,215,va_deg,strict_state_variable,0.7088160364200933,8779,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9845678408940634,0.0007365262925,0.9842552741368612,0.0007467376620159,-0.0003125667572021,strong_R2_ge_0.90,primary_target
3,bus_315_va_deg,bus_angle,区域 3 高负荷代表节点相角,bus,315,va_deg,strict_state_variable,9.576766657954147,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.959881862004598,0.0027424508450167,0.962920347849528,0.0026224099070437,0.0030384858449299,strong_R2_ge_0.90,primary_target
4,branch_ab1_loading_pct,interarea_loading,关键跨区支路 AB1 负载率,branch,AB1,loading_pct,derived_operational_state,41.74029814648026,8781,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8690657615661621,0.007799262228154,0.8826062480608622,0.0074117183326598,0.0135404864947,usable_R2_0.70_0.90,primary_target
5,branch_ab2_loading_pct,interarea_loading,关键跨区支路 AB2 负载率,branch,AB2,loading_pct,derived_operational_state,11.202430631602148,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9821819067001344,0.0010758437358874,0.987085501352946,0.0006151372501812,0.0049035946528116,strong_R2_ge_0.90,primary_target
6,branch_ab3_loading_pct,interarea_loading,关键跨区支路 AB3 负载率,branch,AB3,loading_pct,derived_operational_state,7.071871534662179,8777,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.8204662998517355,0.008928136151363,0.855450173219045,0.0177296494268417,0.0349838733673095,usable_R2_0.70_0.90,primary_target
7,branch_ca_1_loading_pct,interarea_loading,关键跨区支路 CA-1 负载率,branch,CA-1,loading_pct,derived_operational_state,34.09586186893494,8783,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9742441773414612,0.0033508984577728,0.9805768330891927,0.0012602143250344,0.0063326557477315,strong_R2_ge_0.90,primary_target
8,branch_cb_1_loading_pct,interarea_loading,关键跨区支路 CB-1 负载率,branch,CB-1,loading_pct,derived_operational_state,35.456147620799804,8784,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9754712382952372,0.0017842810393905,0.9814697901407876,0.0013794841212288,0.0059985518455505,strong_R2_ge_0.90,primary_target
9,gen_121_nuclear_1_pg_mw,generator,区域 1 核电机组有功出力,generator,121_NUCLEAR_1,pg_mw,control_or_operational_state,11305.040744938862,1763,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.996526817480723,0.0003785919550758,0.9977469642957052,0.0006548376193655,0.0012201468149821,strong_R2_ge_0.90,primary_target
10,gen_218_cc_1_pg_mw,generator,区域 2 联合循环机组有功出力,generator,218_CC_1,pg_mw,control_or_operational_state,18627.37012235934,2390,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9192488392194113,0.0010671277095388,0.9150239825248718,0.0086499891032384,-0.0042248566945394,strong_R2_ge_0.90,primary_target
11,gen_317_wind_1_pg_mw,generator,区域 3 风电机组有功出力,generator,317_WIND_1,pg_mw,control_or_operational_state,57539.62905605637,6950,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9295141696929932,0.0083890102684161,0.9107703566551208,0.0028447235308903,-0.0187438130378723,strong_R2_ge_0.90,primary_target
12,gen_321_cc_1_status,generator,启停较均衡的联合循环机组状态,generator,321_CC_1,status,control_or_operational_state,0.2491171308116097,2,0,T3_high,节点相角、线路状态或具名机组状态；作为高敏感主目标保留,0.9311446746190388,0.0103047576261656,0.9682641426722208,0.0054560184114416,0.0371194680531818,strong_R2_ge_0.90,primary_target
